City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Aras,15,ES,1600068026,60,42.56,-2.36,68.0,6.93
Ilulissat,0,GL,1600068027,53,69.22,-51.1,23.0,11.41
San Patricio,72,MX,1600068027,87,19.22,-104.7,78.28,4.76
El Campo,1,US,1600068027,88,29.2,-96.27,77.0,3.36
Khovd,0,MN,1600068028,33,48.01,91.64,57.67,3.94
Port Macquarie,0,AU,1600068028,74,-31.43,152.92,69.01,5.99
Kruisfontein,20,ZA,1600068028,55,-34.0,24.73,61.0,5.99
Kralendijk,54,BQ,1600068028,83,12.15,-68.27,84.2,12.75
Srednekolymsk,0,RU,1600068029,52,67.45,153.68,53.26,9.17
Klyuchi,8,RU,1600068029,23,52.27,79.17,72.88,4.43
Bandarbeyla,26,SO,1600068029,45,9.49,50.81,90.28,24.36
Ngorongoro,0,TZ,1600068029,52,-3.24,35.49,63.79,7.72
Haines Junction,0,CA,1600068030,85,60.75,-137.51,34.25,1.1
Warwick,90,US,1600067966,88,41.7,-71.42,69.8,8.05
Belmonte,20,BR,1600068030,64,-15.86,-38.88,73.4,12.75
Akdepe,0,TM,1600068033,30,42.06,59.38,82.4,6.93
Beloha,0,MG,1600068033,36,-25.17,45.05,83.59,14.79
Bilibino,100,RU,1600068033,72,68.05,166.44,42.12,4.9
Hamilton,1,US,1600067931,100,39.18,-84.53,66.2,6.4
Beira,75,MZ,1600068034,88,-19.84,34.84,71.6,3.36
Chingirlau,100,KZ,1600068034,34,51.09,54.08,66.47,11.65
Lorengau,51,PG,1600068035,79,-2.02,147.27,82.71,11.32
Richards Bay,100,ZA,1600068035,66,-28.78,32.04,70.9,6.71
Warka,2,PL,1600068035,70,51.78,21.19,68.0,3.0
Murgab,0,TM,1600068035,28,37.5,61.97,80.6,6.98
Neustadt an der Waldnaab,1,DE,1600068036,100,49.71,12.09,61.0,3.38
Pendleton,90,US,1600067818,36,45.67,-118.79,66.99,10.29
Saint-Joseph,90,RE,1600068036,77,-21.37,55.62,69.8,25.28
Penzance,20,GB,1600068037,100,50.12,-5.54,60.8,12.75
Reyes,20,BO,1600068037,57,-14.32,-67.38,76.37,1.72
Ruteng,90,ID,1600068037,71,-8.61,120.47,70.57,1.16
Bālurghāt,76,IN,1600068037,68,25.22,88.77,89.2,5.91
Carthage,40,TN,1600068038,78,36.86,10.33,73.4,5.82
Broken Hill,0,AU,1600068038,30,-31.95,141.43,69.8,16.11
Sabang,100,ID,1600068038,75,5.89,95.32,82.74,16.08
Huntsville,1,US,1600068038,94,34.73,-86.59,72.0,3.36
Yairipok,75,IN,1600068038,73,24.67,94.07,75.2,2.24
Bengkulu,7,ID,1600068039,77,-3.8,102.27,83.21,11.54
Udachny,75,RU,1600068039,50,66.42,112.4,53.6,4.47
Petatlán,100,MX,1600068039,83,17.52,-101.27,76.68,3.94
Petauke,10,ZM,1600068040,31,-14.24,31.33,81.34,8.28
Kampene,36,CD,1600068040,77,-3.6,26.67,77.5,4.25
Miramar,1,US,1600068040,88,25.99,-80.23,82.99,5.82
Tsabong,0,BW,1600068040,32,-26.02,22.4,65.68,8.41
Gilbués,4,BR,1600068041,67,-9.83,-45.34,65.26,5.73
El Tarra,100,CO,1600068041,82,8.58,-73.09,74.79,1.99
Bereket,0,TM,1600068041,27,39.24,55.52,86.72,12.41
Saldanha,75,ZA,1600068041,61,-33.01,17.94,55.4,2.24
Dingli,20,MT,1600068042,78,35.86,14.38,77.0,10.29
Elizabeth City,2,US,1600068043,97,36.29,-76.25,73.0,5.14
Mogadishu,40,SO,1600067791,69,2.04,45.34,80.6,13.87
Aitape,98,PG,1600068043,75,-3.14,142.35,84.0,9.42
Praia da Vitória,75,PT,1600068044,94,38.73,-27.07,69.01,21.14
Imeni Zhelyabova,0,RU,1600068044,71,58.95,36.6,53.78,11.59
Wanning,15,CN,1600068045,68,18.8,110.4,87.69,6.26
Maniitsoq,1,GL,1600068046,80,65.42,-52.9,33.87,11.83
Mahon,0,ES,1600068046,88,39.89,4.27,73.4,4.7
Shubarkuduk,100,KZ,1600068047,30,49.14,56.49,69.75,8.61
Quimper,0,FR,1600068047,72,48.0,-4.1,62.6,4.7
Pizarro,100,CO,1600067764,88,4.95,-77.37,76.86,0.2
Kudahuvadhoo,13,MV,1600068048,70,2.67,72.89,83.16,7.31
Ancud,0,CL,1600068048,96,-41.87,-73.82,39.99,8.99
Peace River,90,CA,1600068048,81,56.25,-117.29,44.01,14.99
Fort-Shevchenko,0,KZ,1600068049,49,44.51,50.26,71.06,4.23
Nemuro,75,JP,1600068049,72,43.32,145.57,59.0,6.93
Los Palacios,100,CU,1600068049,89,22.59,-83.25,77.88,5.53
Souillac,75,MU,1600068049,64,-20.52,57.52,73.4,21.92
Pangoa,58,PE,1600068050,95,-12.12,-73.0,64.74,3.85
Bethel,1,US,1600068052,93,41.37,-73.41,66.99,4.7
Pozo Colorado,100,PY,1600068052,69,-23.49,-58.8,76.64,11.48
Luis Gil Pérez,83,MX,1600068053,94,17.87,-93.05,75.25,6.08
Hermiston,90,US,1600068053,76,45.84,-119.29,62.6,3.36
Vila,99,PT,1600068053,85,42.03,-8.16,64.99,2.71
Broome,90,US,1600068054,87,42.25,-75.83,62.01,8.05
Stromness,75,GB,1600067975,87,58.97,-3.3,59.0,9.17
Piteå,45,SE,1600068054,66,65.32,21.48,50.0,10.29
Laas,20,IT,1600068054,93,46.62,10.7,57.2,4.7
Morbegno,62,IT,1600068055,92,46.14,9.57,73.0,0.04
Prince Rupert,90,CA,1600068055,93,54.32,-130.32,53.6,4.7
Vestmanna,87,FO,1600068056,100,62.16,-7.17,46.4,5.82
Kalmunai,100,LK,1600068056,54,7.42,81.82,88.48,4.52
San Quintín,0,MX,1600068056,76,30.48,-115.95,70.7,10.29
Umluj,0,SA,1600068059,38,25.02,37.27,95.0,12.46
Balakhta,0,RU,1600068059,52,55.38,91.6,61.63,1.86
Ōhara,75,JP,1600068060,83,35.25,140.38,78.8,6.93
Hasaki,75,JP,1600068060,83,35.73,140.83,75.2,6.93
Harlingen,100,US,1600068060,100,26.19,-97.7,80.01,8.05
San Vicente,43,AR,1600068061,82,-26.62,-54.13,64.96,6.53
Makkah al Mukarramah,0,SA,1600068061,6,21.43,39.83,109.2,5.88
Manta,90,EC,1600068061,83,-0.95,-80.73,73.4,4.7
Parrsboro,100,CA,1600068063,72,45.4,-64.33,66.0,7.0
Lompoc,90,US,1600068000,93,34.64,-120.46,57.2,7.25
Hailar,0,CN,1600068065,44,49.2,119.7,63.09,11.5
Ippy,83,CF,1600068066,94,6.27,21.22,73.9,1.9
Labuhan,53,ID,1600068066,54,-6.88,112.21,86.88,12.39
Flinders,20,AU,1600068066,75,-34.58,150.86,64.99,1.99
Valdivia,1,CL,1600068067,100,-39.81,-73.25,33.8,2.24
Mehamn,90,NO,1600068067,87,71.04,27.85,48.2,12.75
Staraya Poltavka,100,RU,1600068067,31,50.48,46.48,66.56,16.67
Yangi Marg`ilon,0,UZ,1600068067,26,40.43,71.72,80.6,4.7
Biak,66,ID,1600068067,64,-0.91,122.88,81.93,10.89
Celestún,86,MX,1600068068,76,20.87,-90.4,80.91,3.42
Aswān,0,EG,1600068068,12,24.09,32.91,98.69,13.98
Sande,40,DE,1600068068,100,53.5,8.01,63.0,2.24
Ola,0,RU,1600068068,49,59.58,151.28,59.2,7.27
Merrill,90,US,1600067934,100,45.18,-89.68,51.8,3.69
San Cristobal,98,VE,1600068069,87,7.77,-72.22,65.66,2.59
Kaiyuan,100,CN,1600068069,84,23.7,103.3,71.71,4.21
Iqaluit,90,CA,1600068069,65,63.75,-68.51,41.0,9.17
